1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,512.5,513.5,514.5,515.5,516.5,517.5,518.5,519.5,520.5,521.5,522.5,523.5,524.5,525.5,526.5,527.5,528.5,529.5,530.5,531.5,532.5,533.5,534.5,535.5,536.5,537.5,538.5,539.5,540.5,541.5,542.5,543.5,544.5,545.5,546.5,547.5,548.5,549.5,550.5,551.5,552.5,553.5,554.5,555.5,556.5,557.5,558.5,559.5,560.5,561.5,562.5,563.5,564.5,565.5,566.5,567.5,568.5,569.5,570.5,571.5,572.5,573.5,574.5,575.5,576.5,577.5,578.5,579.5,580.5,581.5,582.5,583.5,584.5,585.5,586.5,587.5,588.5,589.5,590.5,591.5,592.5,593.5,594.5,595.5,596.5,597.5,598.5,599.5,600.5,601.5,602.5,603.5,604.5,605.5,606.5,607.5,608.5,609.5,610.5,611.5,612.5,613.5,614.5,615.5,616.5,617.5,618.5,619.5,620.5,621.5,622.5,623.5,624.5,625.5,626.5,627.5,628.5,629.5,630.5,631.5,632.5,633.5,634.5,635.5,636.5,637.5,638.5,639.5,640.5,641.5,642.5,643.5,644.5,645.5,646.5,647.5,648.5,649.5,650.5,651.5,652.5,653.5,654.5,655.5,656.5,657.5,658.5,659.5,660.5,661.5,662.5,663.5,664.5,665.5,666.5,667.5,668.5,669.5,670.5,671.5,672.5,673.5,674.5,675.5,676.5,677.5,678.5,679.5,680.5,681.5,682.5,683.5,684.5,685.5,686.5,687.5,688.5,689.5,690.5,691.5,692.5,693.5,694.5,695.5,696.5,697.5,698.5,699.5,700.5,701.5,702.5,703.5,704.5,705.5,706.5,707.5,708.5,709.5,710.5,711.5,712.5,713.5,714.5,715.5,716.5,717.5,718.5,719.5,720.5,721.5,722.5,723.5,724.5,725.5,726.5,727.5,728.5,729.5,730.5,731.5,732.5,733.5,734.5,735.5,736.5,737.5,738.5,739.5,740.5,741.5,742.5,743.5,744.5,745.5,746.5,747.5,748.5,749.5,750.5,751.5,752.5,753.5,754.5,755.5,756.5,757.5,758.5,759.5,760.5,761.5,762.5,763.5,764.5,765.5,766.5,767.5,768.5,769.5,770.5,771.5,772.5,773.5,774.5,775.5,776.5,777.5,778.5,779.5,780.5,781.5,782.5,783.5,784.5,785.5,786.5,787.5,788.5,789.5,790.5,791.5,792.5,793.5,794.5,795.5,796.5,797.5,798.5,799.5,800.5,801.5,802.5,803.5,804.5,805.5,806.5,807.5,808.5,809.5,810.5,811.5,812.5,813.5,814.5,815.5,816.5,817.5,818.5,819.5,820.5,821.5,822.5,823.5,824.5,825.5,826.5,827.5,828.5,829.5,830.5,831.5,832.5,833.5,834.5,835.5,836.5,837.5,838.5,839.5,840.5,841.5,842.5,843.5,844.5,845.5,846.5,847.5,848.5,849.5,850.5,851.5,852.5,853.5,854.5,855.5,856.5,857.5,858.5,859.5,860.5,861.5,862.5,863.5,864.5,865.5,866.5,867.5,868.5,869.5,870.5,871.5,872.5,873.5,874.5,875.5,876.5,877.5,878.5,879.5,880.5,881.5,882.5,883.5,884.5,885.5,886.5,887.5,888.5,889.5,890.5,891.5,892.5,893.5,894.5,895.5,896.5,897.5,898.5,899.5,900.5,901.5,902.5,903.5,904.5,905.5,906.5,907.5,908.5,909.5,910.5,911.5,912.5,913.5,914.5,915.5,916.5,917.5,918.5,919.5,920.5,921.5,922.5,923.5,924.5,925.5,926.5,927.5,928.5,929.5,930.5,931.5,932.5,933.5,934.5,935.5,936.5,937.5,938.5,939.5,940.5,941.5,942.5,943.5,944.5,945.5,946.5,947.5,948.5,949.5,950.5,951.5,952.5,953.5,954.5,955.5,956.5,957.5,958.5,959.5,
(1 37253.65),(2 17830.682),(3 39736.66),(4 10354.927),(5 42773.895),(6 20982.12),(7 44237.863),(8 15836.078),(9 45609),(10 19722.295),(11 45911.74),(12 16155.825),(13 44820.55),(14 22705.967),(15 45393.168),(16 13794.438),(17 44908.83),(18 24416.672),(19 44798.76),(20 9492.944),(21 45075.285),(22 24680.553),(23 45202.605),(24 14633.003),(25 46421.39),(26 23961.227),(27 46749.26),(28 17865.273),(29 46841.24),(30 21515.186),(31 48767.76),(32 19467.494),(33 47550.84),(34 24905.104),(35 48191.066),(36 16794.895),(37 46973.043),(38 25635.584),(39 47085.566),(40 12157.629),(41 47206.156),(42 26261.04),(43 48134.656),(44 18363.787),(45 49223.27),(46 26012.99),(47 50533.12),(48 22658.361),(49 50492.24),(50 23837.766),(51 51460.88),(52 23007.078),(53 50161.3),(54 26714.479),(55 50808.543),(56 20735.768),(57 50093.254),(58 28327.541),(59 50975.047),(60 16779.29),(61 50934.098),(62 29170.693),(63 51563.004),(64 22490.479),(65 52476.5),(66 28362.615),(67 53473.035),(68 26421.99),(69 54180.668),(70 26623.146),(71 55574.605),(72 28073.805),(73 54847.656),(74 31179.338),(75 56062.324),(76 26770.229),(77 55943.906),(78 33856.8),(79 55757.754),
(1 8641.19),(2 10264.636),(3 13430.042),(4 12831.559),(5 17228.818),(6 15799.273),(7 19980.447),(8 19446.506),(9 20757.793),(10 15722.99),(11 21245.387),(12 20155.613),(13 21332.193),(14 19328.756),(15 22480.564),(16 20421.523),(17 24199.063),(18 23446.016),(19 24515.16),(20 19579.361),(21 25614.924),(22 25189.375),(23 26338.014),(24 24141.271),(25 26911.248),(26 24626.127),(27 27864.207),(28 26893.264),(29 27831.57),(30 23146.707),(31 29012.867),(32 28509.412),(33 29750.834),(34 27798.033),(35 30352.8),(36 28028.502),(37 31192.975),(38 30086.592),(39 30875.549),(40 26133.19),(41 32145.234),(42 31936.037),(43 33486.754),(44 31916.9),(45 34864.586),(46 33075.414),(47 36457.555),(48 35645.51),(49 36737.816),(50 32597.229),(51 37701.277),(52 36946.246),(53 37934.758),(54 35904.387),(55 38161.184),(56 35889.54),(57 38619.613),(58 37538.035),(59 38310.664),(60 33550.316),(61 39266.55),(62 39110.1),(63 40571.97),(64 39168.574),(65 41996.004),(66 40338.188),(67 43920.69),(68 43381.375),(69 44635.734),(70 40871.53),(71 46029.496),(72 45377.188),(73 46599.414),(74 44876.273),(75 47125.773),(76 44899.19),(77 47924.793),(78 46964.316),(79 47441.46),
(1 8432.483),(2 10208.117),(3 13311.376),(4 12725.927),(5 16951.799),(6 15514.013),(7 19672.99),(8 19278.773),(9 20576.227),(10 15839.284),(11 21165.406),(12 20234.447),(13 21355.889),(14 19388.166),(15 22346.209),(16 20389.215),(17 23983.969),(18 23227.62),(19 24111.24),(20 19407.408),(21 25215.602),(22 24917.771),(23 26141.75),(24 24116.525),(25 26735.117),(26 24473.709),(27 27570.188),(28 26578.5),(29 27372.424),(30 22930.375),(31 28451.396),(32 27985.85),(33 29222.406),(34 27351.203),(35 29803.969),(36 27704.947),(37 30848.271),(38 29832.596),(39 30543.19),(40 26096.729),(41 31824.404),(42 31708.232),(43 33138.043),(44 31517.678),(45 34249.293),(46 32431.521),(47 35686.69),(48 34970.19),(49 36034.848),(50 32284.975),(51 37148.23),(52 36472.01),(53 37435.848),(54 35545.047),(55 37632.53),(56 35491.613),(57 38154.344),(58 36966.703),(59 37450.883),(60 33019.598),(61 38486.285),(62 38456.32),(63 40041.402),(64 38868.87),(65 41557.996),(66 39949.332),(67 43337.824),(68 42803.535),(69 43928.824),(70 40492.344),(71 45252.516),(72 44671.676),(73 45916.605),(74 44354.594),(75 46448.824),(76 44395.05),(77 47371.98),(78 46453.637),(79 46841.41),
(1 8045.2188),(2 9923.203),(3 12976.315),(4 12455.304),(5 16495.55),(6 15248.324),(7 19259.338),(8 18845.033),(9 19866.998),(10 15464.624),(11 20548.195),(12 19782.793),(13 20837.7),(14 19014.477),(15 21871.2),(16 20110.068),(17 23612.752),(18 22869.873),(19 23655.527),(20 19286.055),(21 24732.865),(22 24532.07),(23 25616.08),(24 23700.113),(25 26113.564),(26 24020.938),(27 27008.703),(28 26101.445),(29 26785.922),(30 22693.475),(31 27896.04),(32 27581.49),(33 28762.885),(34 27038.365),(35 29356.455),(36 27363.84),(37 30256.95),(38 29216.287),(39 29840.402),(40 25796.975),(41 31105.904),(42 31052.3),(43 32440.275),(44 31068.992),(45 33607.203),(46 32047.455),(47 35157.234),(48 34488.906),(49 35368.414),(50 31906.25),(51 36273.676),(52 35627.98),(53 36463.47),(54 34710.03),(55 36720.31),(56 34875.46),(57 37495.773),(58 36450.16),(59 36873.863),(60 32926.23),(61 37849.453),(62 37905.85),(63 39298.84),(64 38188.47),(65 40663.797),(66 39389.297),(67 42603.42),(68 42181.26),(69 43167.34),(70 40172.723),(71 44508.375),(72 44077.76),(73 45134.69),(74 43672.42),(75 45441.44),(76 43592.7),(77 46183.25),(78 45355.78),(79 45676.74),
(1 7982.305),(2 9727.126),(3 12923.316),(4 12248.827),(5 16286.92),(6 15020.31),(7 19108.94),(8 18399.047),(9 19447.49),(10 14910.195),(11 19847.332),(12 18988.281),(13 20200.088),(14 18246.287),(15 21189.08),(16 19436.45),(17 23041.502),(18 22138.063),(19 23076.715),(20 18763.998),(21 24113.785),(22 23717.402),(23 24956.22),(24 22851.213),(25 25233.523),(26 23132.135),(27 26256.877),(28 25151.488),(29 25918.33),(30 21843.287),(31 26936.94),(32 26554.492),(33 27926.904),(34 26043.883),(35 28327.803),(36 26324.445),(37 29296.982),(38 28103.66),(39 28751.098),(40 24706.375),(41 29785.443),(42 29611.36),(43 31104.97),(44 29541.805),(45 32104.516),(46 30548.98),(47 33759.12),(48 32881.418),(49 33862.246),(50 30428.574),(51 34813.4),(52 34111.5),(53 35098.484),(54 33225.87),(55 35097.086),(56 33131.117),(57 35826.914),(58 34611.965),(59 35185.254),(60 31348.145),(61 36273.82),(62 36187.6),(63 37738.203),(64 36583.49),(65 39069.19),(66 37827.18),(67 41020.566),(68 40343.33),(69 41377.58),(70 38390.72),(71 42606.39),(72 42080.56),(73 43296.734),(74 41729.11),(75 43565.44),(76 41699.637),(77 44395.074),(78 43323.24),(79 43765.754),
(1 7698.053),(2 9530.081),(3 12712.544),(4 12151.698),(5 16067.939),(6 14902.236),(7 18827.305),(8 18096.56),(9 18946.479),(10 14607.8545),(11 19217.377),(12 18394.592),(13 19577.5),(14 17665.254),(15 20427.742),(16 18840.314),(17 22335.162),(18 21420.287),(19 22287.229),(20 18242.52),(21 23248.887),(22 22877.797),(23 24129.83),(24 22146.436),(25 24412.795),(26 22389.104),(27 25367.508),(28 24274.447),(29 24949.148),(30 21214.834),(31 25976.752),(32 25682.305),(33 26945.121),(34 25076.893),(35 27267.555),(36 25448.992),(37 28343.555),(38 27175.447),(39 27716.652),(40 23927.008),(41 28669.166),(42 28544.717),(43 29965.768),(44 28411.658),(45 30735.826),(46 29302.977),(47 32316.975),(48 31478.441),(49 32377.363),(50 29225.44),(51 33320.22),(52 32782.586),(53 33749.06),(54 31866.291),(55 33600.215),(56 31776.184),(57 34253.766),(58 33046.46),(59 33500.58),(60 29945.26),(61 34444.12),(62 34530.95),(63 36157.93),(64 35153.586),(65 37467.805),(66 36362.85),(67 39493.523),(68 38869.918),(69 39829.81),(70 37049.895),(71 40766.715),(72 40236.03),(73 41344.535),(74 39796.33),(75 41432.22),(76 39846.953),(77 42415.055),(78 41370.375),(79 41735.67),
(1 7399.5654),(2 9274.37),(3 12409.753),(4 11928.674),(5 15609.976),(6 14504.017),(7 18265.057),(8 17534.082),(9 18289.982),(10 14154.757),(11 18476.092),(12 17717.646),(13 18853.336),(14 17070.69),(15 19660.768),(16 18205.291),(17 21517.695),(18 20697.025),(19 21459.715),(20 17609.896),(21 22355.959),(22 22036.709),(23 23242.852),(24 21323.705),(25 23385.867),(26 21552.15),(27 24464.246),(28 23402.549),(29 24026.898),(30 20573.768),(31 25132.215),(32 24918.514),(33 26204.754),(34 24446.533),(35 26375.129),(36 24604.977),(37 27247.002),(38 26034.143),(39 26399.906),(40 22837.027),(41 27341.063),(42 27357.346),(43 28806.066),(44 27428.545),(45 29649.809),(46 28344.273),(47 31208.412),(48 30292.07),(49 31032.041),(50 27995.379),(51 31741.023),(52 31212.95),(53 32182.207),(54 30472.777),(55 32103.074),(56 30432.834),(57 32852.086),(58 31730.697),(59 32060.572),(60 28804.771),(61 33017.848),(62 33134.785),(63 34664.652),(64 33659.707),(65 35769.613),(66 34743.164),(67 37646.285),(68 37059.457),(69 37992.113),(70 35560.613),(71 39070.77),(72 38613.582),(73 39706.02),(74 38246.6),(75 39690.934),(76 38181.008),(77 40420.96),(78 39382.977),(79 39646.918),
(1 7158.8545),(2 9033.364),(3 12106.512),(4 11538.618),(5 14980.751),(6 13895.347),(7 17543.559),(8 16728.803),(9 17382.205),(10 13408.46),(11 17494.777),(12 16770.361),(13 17879.072),(14 16027.186),(15 18479.54),(16 17112.04),(17 20312.242),(18 19338.908),(19 19982.646),(20 16280.671),(21 20804.63),(22 20572.24),(23 21782.443),(24 19858.305),(25 21867.568),(26 20142.17),(27 22979.299),(28 21919.559),(29 22503.61),(30 19198.475),(31 23412),(32 23148.813),(33 24398.762),(34 22639.69),(35 24461.676),(36 22752.26),(37 25325.605),(38 24043.201),(39 24397.041),(40 21036.475),(41 25265.31),(42 25279.898),(43 26684.885),(44 25204.203),(45 27194.5),(46 25953.102),(47 28684.232),(48 27688.666),(49 28369.746),(50 25460.463),(51 29076.518),(52 28580.309),(53 29567.684),(54 27885.932),(55 29435.182),(56 27986.533),(57 30298.809),(58 29039.662),(59 29235.293),(60 26064.902),(61 30002.533),(62 30118.492),(63 31654.557),(64 30670.992),(65 32707.209),(66 31837.28),(67 34688.38),(68 34103.234),(69 34987.773),(70 32704.973),(71 35921.055),(72 35422.805),(73 36462.477),(74 34981.24),(75 36284.402),(76 34852.867),(77 37054.926),(78 35948.164),(79 36220.918),
(1 6937.3003),(2 8751.383),(3 11915.478),(4 11241.993),(5 14642.953),(6 13584.169),(7 17293.43),(8 16443.252),(9 17077.371),(10 13141.396),(11 17085.697),(12 16280.845),(13 17464.758),(14 15532.154),(15 17860.926),(16 16472.059),(17 19754.525),(18 18749.236),(19 19487.041),(20 15984.845),(21 20363.305),(22 20000.21),(23 21252.566),(24 19243.92),(25 21084.605),(26 19356.557),(27 22191.697),(28 21040.326),(29 21570.777),(30 18328.078),(31 22474.662),(32 22207.877),(33 23531.307),(34 21735.324),(35 23496.898),(36 21859.287),(37 24396.223),(38 23092.807),(39 23478.66),(40 20235.318),(41 24196.166),(42 24016.178),(43 25440.69),(44 23951.352),(45 25819.049),(46 24510.598),(47 27225.146),(48 26215.076),(49 26962.951),(50 24195.52),(51 27642.814),(52 27108.695),(53 28157.617),(54 26445.727),(55 27867.057),(56 26333.986),(57 28609.713),(58 27308.787),(59 27621.822),(60 24712.332),(61 28496.682),(62 28577.646),(63 30137.945),(64 29084.734),(65 30935.26),(66 30091.107),(67 32880.977),(68 32214.844),(69 33039.098),(70 30842.756),(71 33894.19),(72 33373.523),(73 34447.78),(74 32966.75),(75 34154.23),(76 32715.117),(77 34862.613),(78 33710.6),(79 33973.703),
(1 6666.936),(2 8521.828),(3 11633.953),(4 11048.027),(5 14202.139),(6 13314.489),(7 16757.156),(8 15870.344),(9 16349.097),(10 12534.694),(11 16194.376),(12 15411.869),(13 16501.916),(14 14660.157),(15 16859.742),(16 15672.838),(17 18699.045),(18 17732.406),(19 18367.389),(20 14943.516),(21 19069.4),(22 18716.707),(23 19880.502),(24 17975.025),(25 19659.186),(26 18127.658),(27 20795.47),(28 19764.86),(29 20371.354),(30 17377.95),(31 21212.514),(32 20945.771),(33 22106.36),(34 20303.078),(35 21797.09),(36 20281.059),(37 22584.813),(38 21328.115),(39 21643.766),(40 18552.723),(41 22225.451),(42 22126.992),(43 23514.26),(44 22082.533),(45 23726.893),(46 22636.922),(47 25082.148),(48 24086.861),(49 24745.92),(50 22137.752),(51 25306.537),(52 24810.365),(53 25800.281),(54 24163.662),(55 25383.709),(56 24002.555),(57 26071.916),(58 24782.682),(59 25013.518),(60 22311.135),(61 25832.7),(62 26001.98),(63 27552.895),(64 26599.666),(65 28233.178),(66 27492.418),(67 30015.357),(68 29333.115),(69 30003.63),(70 27849.764),(71 30553.334),(72 30034.666),(73 31036.762),(74 29642.918),(75 30767.387),(76 29541.656),(77 31499.992),(78 30384.389),(79 30646.404),
(1 6462.9272),(2 8294.458),(3 11370.199),(4 10728.38),(5 13699.747),(6 12848.432),(7 16207.546),(8 15244.613),(9 15666.477),(10 11963.844),(11 15461.949),(12 14726.122),(13 15909.414),(14 14052.646),(15 16083.741),(16 14945.56),(17 17923.76),(18 16815.385),(19 17365.879),(20 14073.284),(21 18019.56),(22 17721.068),(23 19000.729),(24 17144.125),(25 18777.105),(26 17393.08),(27 20017.568),(28 18880.434),(29 19434.293),(30 16549.201),(31 20177.314),(32 19839.885),(33 21043.117),(34 19247.36),(35 20599.584),(36 19167.557),(37 21384.445),(38 20009.783),(39 20256.143),(40 17271.572),(41 20808.902),(42 20721.02),(43 22113.521),(44 20684.633),(45 22241.332),(46 21204.637),(47 23633.64),(48 22481.643),(49 23056.787),(50 20470.738),(51 23485.621),(52 23020.225),(53 24069.822),(54 22423.26),(55 23539.264),(56 22299.38),(57 24364.094),(58 23060.15),(59 23288.344),(60 20703.807),(61 23936.967),(62 23977.436),(63 25442.424),(64 24440.6),(65 26034.783),(66 25418.412),(67 27865.604),(68 27129.44),(69 27858.44),(70 25931.336),(71 28525.893),(72 28057.568),(73 29082.307),(74 27650.408),(75 28571.531),(76 27414.793),(77 29189.422),(78 28017.363),(79 28285.672),
(1 6170.9043),(2 8026.0713),(3 10995.554),(4 10388.492),(5 13065.362),(6 12350.201),(7 15469.977),(8 14537.993),(9 14858.821),(10 11344.546),(11 14558.765),(12 13804.075),(13 14848.249),(14 13081.484),(15 14942.161),(16 14023.904),(17 16788.92),(18 15691.1),(19 16156.748),(20 13071.043),(21 16746.523),(22 16496.725),(23 17696.201),(24 15905.317),(25 17306.652),(26 16082.757),(27 18497.973),(28 17461.883),(29 17954.555),(30 15267.564),(31 18604.932),(32 18287.758),(33 19350.193),(34 17609.117),(35 18801.074),(36 17550.135),(37 19681.365),(38 18378.59),(39 18574.51),(40 15787.989),(41 19060.328),(42 18999.543),(43 20273.76),(44 18796.713),(45 20022.125),(46 19043.533),(47 21226.355),(48 20218.48),(49 20778.396),(50 18402.688),(51 21230.465),(52 20828.252),(53 21821.021),(54 20293.658),(55 21314.56),(56 20251.932),(57 22212.297),(58 20906.596),(59 20942.467),(60 18524.117),(61 21543.107),(62 21686.322),(63 23092.146),(64 22077.229),(65 23381.096),(66 22857.709),(67 25201.5),(68 24540.498),(69 25121.545),(70 23303.18),(71 25656.186),(72 25182.008),(73 26047.574),(74 24646.156),(75 25387.951),(76 24449.797),(77 26182.207),(78 25025.54),(79 25265.66),
(1 5990.7344),(2 7717.7207),(3 10746.766),(4 10078.153),(5 12711.109),(6 12055.47),(7 15137.871),(8 14131.614),(9 14488.625),(10 11020.24),(11 14084.355),(12 13289.816),(13 14311.351),(14 12474.825),(15 14227.726),(16 13345.746),(17 16071.837),(18 14947.929),(19 15497.5205),(20 12504.179),(21 16092.433),(22 15789.837),(23 17036.41),(24 15181.542),(25 16530.033),(26 15338.308),(27 17708.117),(28 16555.791),(29 17109.508),(30 14487.332),(31 17733.477),(32 17424.576),(33 18607.21),(34 16833.541),(35 17968.615),(36 16705.2),(37 18724.242),(38 17321.768),(39 17505.518),(40 14713.965),(41 17810.799),(42 17684.316),(43 19079.992),(44 17678.758),(45 18976.602),(46 18160.486),(47 20267.223),(48 19171.326),(49 19711.99),(50 17306.314),(51 19959.533),(52 19498.21),(53 20459.748),(54 18894.445),(55 19798.764),(56 18858.84),(57 20745.572),(58 19501.693),(59 19703.219),(60 17386.928),(61 20294.947),(62 20386.768),(63 21763.434),(64 20672.777),(65 21892.182),(66 21432.523),(67 23590.049),(68 22859.846),(69 23519.846),(70 21726.69),(71 23955.367),(72 23557.09),(73 24556.746),(74 23104.623),(75 23746.5),(76 22852.09),(77 24397.521),(78 23176.102),(79 23431.541),
(1 5744.7524),(2 7484.4824),(3 10454.111),(4 9800.237),(5 12180.326),(6 11717.248),(7 14641.996),(8 13633.86),(9 13854.388),(10 10542.411),(11 13457.931),(12 12792.001),(13 13822.143),(14 12009.628),(15 13514.1045),(16 12826.185),(17 15405.521),(18 14367.606),(19 14830.262),(20 11984.855),(21 15350.935),(22 15132.417),(23 16349.446),(24 14650.849),(25 15801.862),(26 14813.866),(27 17059.006),(28 15955.565),(29 16394.387),(30 13913.3125),(31 16980.248),(32 16745.02),(33 17822.06),(34 16111.053),(35 17018.94),(36 16025.375),(37 17897.691),(38 16565.309),(39 16670.576),(40 14053.596),(41 16973.855),(42 16849.16),(43 18033.695),(44 16677.492),(45 17737.563),(46 17051.314),(47 19030.844),(48 18026.965),(49 18537.367),(50 16325.235),(51 18831.248),(52 18447.52),(53 19398.133),(54 17916.23),(55 18694.395),(56 17833.367),(57 19573.537),(58 18379.56),(59 18544.781),(60 16369.024),(61 19044.275),(62 19122.434),(63 20360.34),(64 19379.674),(65 20455.637),(66 20156.598),(67 22140.572),(68 21464.365),(69 22031.537),(70 20361.82),(71 22380.023),(72 22010.168),(73 22903.523),(74 21585.91),(75 22092.082),(76 21347.404),(77 22774.855),(78 21685.299),(79 21909.293),
(1 5624.533),(2 7391.044),(3 10294.316),(4 9741.746),(5 11975.451),(6 11703.026),(7 14463.614),(8 13415.365),(9 13603.777),(10 10344.179),(11 13046.588),(12 12281.418),(13 13270.17),(14 11556.667),(15 12942.693),(16 12416.227),(17 14882.732),(18 13893.234),(19 14389.289),(20 11659.518),(21 14920.793),(22 14631.09),(23 15781.346),(24 14024.001),(25 14988.353),(26 14148.322),(27 16292.643),(28 15275.682),(29 15824.358),(30 13449.326),(31 16387.389),(32 16107.182),(33 17151.285),(34 15432.768),(35 16181.704),(36 15215.823),(37 16939.01),(38 15639.078),(39 15779.991),(40 13207.711),(41 16052.951),(42 15972.543),(43 17221.17),(44 15856.792),(45 16776.676),(46 16154.799),(47 17961.945),(48 16946.14),(49 17409.64),(50 15231.014),(51 17632.041),(52 17269.027),(53 18239.246),(54 16767.262),(55 17465.262),(56 16773.156),(57 18401.18),(58 17249.242),(59 17424.916),(60 15317.455),(61 17892.232),(62 17931.445),(63 19104.795),(64 18076.857),(65 19004.201),(66 18727.443),(67 20519.246),(68 19832.447),(69 20439.105),(70 18823.436),(71 20762.004),(72 20344.459),(73 21163.045),(74 19840.805),(75 20257.398),(76 19623.854),(77 20985.506),(78 19927.557),(79 20166.95),
(1 5416.9717),(2 7156.2466),(3 10025.59),(4 9536.281),(5 11594.694),(6 11461.173),(7 14086.057),(8 13092.3545),(9 13231.04),(10 10058.549),(11 12566.855),(12 11770.866),(13 12684.687),(14 11066.911),(15 12314.826),(16 12000.208),(17 14388.362),(18 13473.2295),(19 13958.369),(20 11363.51),(21 14459.208),(22 14169.054),(23 15203.703),(24 13488.612),(25 14261.049),(26 13552.838),(27 15580.721),(28 14637.858),(29 15153.267),(30 12908.083),(31 15697.885),(32 15435.964),(33 16494.049),(34 14845.511),(35 15464.02),(36 14574.713),(37 16122.157),(38 14825.55),(39 14935.392),(40 12532.961),(41 15228.895),(42 15097.121),(43 16278.872),(44 15010.272),(45 15823.276),(46 15380.134),(47 17094.83),(48 16079.971),(49 16450.947),(50 14329.376),(51 16616.14),(52 16204.52),(53 17118.875),(54 15745.725),(55 16318.082),(56 15791.306),(57 17328.646),(58 16266.657),(59 16499.703),(60 14547.763),(61 16969.658),(62 16949.865),(63 18066.93),(64 17098.541),(65 17862.969),(66 17691.76),(67 19345.65),(68 18638.781),(69 19174.71),(70 17623.951),(71 19498.248),(72 19116.563),(73 19917.43),(74 18688.04),(75 19065.758),(76 18569.863),(77 19808.895),(78 18795.67),(79 19079.543),
